Unnamed: 0,rating,review,clean_review
3925,5,Excellent taste of spring rolls,excellent taste spring rolls
3926,4,.,
3927,1,The food over here was always good and after the renovation the restaurant and the banquet both looks amazing!,food always good renovation restaurant banquet looks amazing
3928,1,The quantity of food was very good..loved the food... ambience was awesome... proper safety measures were taken in view of the Covid-19 pandemic...,quantity food goodloved food ambience awesome proper safety measures taken view covid pandemic
3929,5,We ordered burnt garlic soup and manchow soup ---- manchow was good burnt garlic was weird <br/>Starters ::: sizlling potatoes was having extra salt <br/>Main course : very very bad tasting with extra salt and masala 's <br/>Should teach the cook<br/>,ordered burnt garlic soup manchow soup manchow good burnt garlic weird brstarters sizlling potatoes extra salt brmain course bad tasting extra salt masala brshould teach cookbr
3930,1,burt masala dosa,burt masala dosa
3931,1,I order 3 item but received 2 item tell me How ,order item received item tell
3932,1,supar dost thanks,supar dost thanks
3933,5,third class dhosa,third class dhosa
3934,1,gud,gud
3935,1,bakvaas khana he ye.....minas 200 rating dunga,bakvaas khana yeminas rating dunga
3936,5,mendu vada so oily and test is third class and sambhar so salty😈😈😈😈,mendu vada oily test third class sambhar salty
3937,5,sooo cheappp,sooo cheappp
3938,1,third class quality dosha is totally burn and sambhar is not good,third class quality dosha totally burn sambhar good
3939,4,Taste was delicious too lower price good quality and quantity given this restaurant I reffer my all friends and family ,taste delicious lower price good quality quantity given restaurant reffer friends family
3940,1,namak nahi tha ,namak nahi tha
3941,1,Pay for Nothing...i wast my money for ordering from your restaurant,pay nothingi wast money ordering restaurant
3942,5,good,good
3943,5,food was smelling bad,food smelling bad
3944,3,zomato jaise platform pe sv food cornar jaisha thela nahi   <br/>hona chahiye,zomato jaise platform pe sv food cornar jaisha thela nahi brhona chahiye
3945,2,pooor quantity and quality,pooor quantity quality
3946,5,yummy 😋,yummy
3947,5,"worst taste and high price, very disappointed ",worst taste high price disappointed
3948,5,Worst quality of the food sent by the restraunt even the dogs would never eat those stale dosa and idl sent by the restraunt aak thooo what a shame how zomato has taken this restraunt int the list. if u want to waste ur valuable money on these kind of zomatos restraunt than u r most wlecome to waste ur hard earnee money and get laid in a good hospital for weeks. ,worst quality food sent restraunt even dogs would never eat stale dosa idl sent restraunt aak thooo shame zomato taken restraunt int list u want waste ur valuable money kind zomatos restraunt u r wlecome waste ur hard earnee money get laid good hospital weeks
3949,4,for the size of Dosa and amount charged is not at all reasonable ,size dosa amount charged reasonable
3950,1,Idly and mysore masala dosa are so bad.Chutney was okay range but vada and sambhar are very bad.I ha,idly mysore masala dosa badchutney okay range vada sambhar badi ha
3951,5,bekar tha bhai esa koi dhosa Banta he kya jala huwa,bekar tha bhai esa koi dhosa banta kya jala huwa
3952,1,food was good but restaurant address is incorrect. it showed udhnagam but was far away from dindoli,food good restaurant address incorrect showed udhnagam far away dindoli
3953,2,"Not good food quality ,,,not better test ,,not hot ",good food quality better test hot
3954,2,theek hai🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,theek hai
3955,1,ghjjvhcczcbiibgcknbvf: ama@24 one orga Sujutsujeet Sandeep Rafat SS8,ghjjvhcczcbiibgcknbvf ama one orga sujutsujeet sandeep rafat ss
3956,5,Idli so hard<br/>Tastes like spoiled idli. Feels like yesterday's reheated food.,idli hardbrtastes like spoiled idli feels like yesterdays reheated food
3957,5,taste was actually very very bad 😕 cheese thik se nhi tha koi taste he nhi tha pata nhi kya bana k bhej diya..raat ko banane ka kantala aa raha tha tau order cancel kr dete itna ghatiya bhaji bhejne ki kya zaroorat thi? very disappointing. I wanted it to throw out lekin hamare yaha khane ko phenkte nhi esliye aapki ghatiya pavbhaji bhi khaani padi and I feel so bad now that why I filled my stomach with such bad tasted bhaji😫,taste actually bad cheese thik se nhi tha koi taste nhi tha pata nhi kya bana k bhej diyaraat ko banane ka kantala aa raha tha tau order cancel kr dete itna ghatiya bhaji bhejne ki kya zaroorat thi disappointing wanted throw lekin hamare yaha khane ko phenkte nhi esliye aapki ghatiya pavbhaji bhi khaani padi feel bad filled stomach bad tasted bhaji
3958,3,Not good food for taste and health,good food taste health
3959,1,it's oily noodle and smell like dirty ,oily noodle smell like dirty
3960,4,ekadam ghatiya quality,ekadam ghatiya quality
3961,1,tasty,tasty
3962,1,nathi maza not like pav bhaji<br/>I though half,nathi maza like pav bhajibri though half
3963,1,They are very bad at sending right orders to right customers.. my order was PURE JAIN I mentioned while ordering it and also made a call that please make it PURE JAIN but they where VERY VERY careless about the order..<br/>…………………..DO NOT ORDER FROM HERE…………………..,bad sending right orders right customers order pure jain mentioned ordering also made call please make pure jain careless orderbrdo order
3964,1,test is not good...so spicy...,test goodso spicy
3965,2,Both item was raw i throw it. Not any taste smell bad and totally raw food,item raw throw taste smell bad totally raw food
3966,1,best quality<br/>jabardast teast ,best qualitybrjabardast teast
3967,1,too let for food prepared ,let food prepared
3968,3,"Mene jain pav bhaji order kiya tha unhone onion garlic wala bhej diya uper se late delivery horrible experience of this restaurant, ",mene jain pav bhaji order kiya tha unhone onion garlic wala bhej diya uper se late delivery horrible experience restaurant
3969,2,not as expected ,expected
3970,5,no chutney in parcel,chutney parcel
3971,5,wastage of money...Hukm taste,wastage moneyhukm taste
3972,5,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3973,1,very late delivery,late delivery
3974,1,wastage of money...Hukm taste,wastage moneyhukm taste
3975,4,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3976,1,very late delivery,late delivery
3977,4,wastage of money...Hukm taste,wastage moneyhukm taste
3978,1,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3979,2,very late delivery,late delivery
3980,5,wastage of money...Hukm taste,wastage moneyhukm taste
3981,1,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3982,3,very late delivery,late delivery
3983,5,wastage of money...Hukm taste,wastage moneyhukm taste
3984,1,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3985,1,very late delivery,late delivery
3986,5,wastage of money...Hukm taste,wastage moneyhukm taste
3987,3,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3988,1,very late delivery,late delivery
3989,1,wastage of money...Hukm taste,wastage moneyhukm taste
3990,5,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3991,3,very late delivery,late delivery
3992,2,wastage of money...Hukm taste,wastage moneyhukm taste
3993,4,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3994,1,very late delivery,late delivery
3995,5,wastage of money...Hukm taste,wastage moneyhukm taste
3996,5,bansh kro kaki ni bhaji ma zomato,bansh kro kaki ni bhaji zomato
3997,2,very late delivery,late delivery
3998,1,good,good
3999,5,No Glass Provide ,glass provide
4000,5,it was full of sugar and too sweet ,full sugar sweet
4001,5,bohot acha,bohot good
4002,1,Pani hai ki juice hai,pani hai ki juice hai
4003,1,worst juices i every drank,worst juices every drank
4004,1,I have orderd juice but no glass no strow in juice bag . This is not good .very bad experince.,orderd juice glass strow juice bag good bad experince
4005,2,help our son at time of rain at INS HOSPITAL <br/>THANKS LOT,help son time rain ins hospital brthanks lot
4006,5,I asked without sugar juice which was accepted..but send with sugar juice,asked without sugar juice acceptedbut send sugar juice
4007,5,very reasonable rate then others taste and quality also good ,reasonable rate others taste quality also good
4008,1,Carrots mix😃👎👎👎👎👎,carrots mix
4009,1,Superb test,superb test
4010,2,the juice has artificial sweetness in it...not worth...not fresh,juice artificial sweetness itnot worthnot fresh
4011,1,Never order again totally bakvash,never order totally bakvash
4012,5,dissatisfied,dissatisfied
4013,4,this is apple juice with Green colour. <br/><br/>return to my paymentt,apple juice green colour brbrreturn paymentt
4014,5,good,good
4015,4,testless juice delivered,testless juice delivered
4016,5,😡😡😤🤮,
4017,5,seen insects dead and floating in the juice.. what shoud i do now. i have ordered 2 to 3 times past 3 days.. i didnt motice anything. but today morining i noticed it. after receiving the parcel,seen insects dead floating juice shoud ordered times past days didnt motice anything today morining noticed receiving parcel
4018,5,need refund....taste was pathetic,need refundtaste pathetic
4019,2,"1 mosambi aur 1 orange juice mangwaya tha. Dono mosambi hi bhej diya. Juice me sugar mana kiya tha, toh sugar ke badle paani daal diya🤣",mosambi aur orange juice mangwaya tha dono mosambi hi bhej diya juice sugar mana kiya tha toh sugar ke badle paani daal diya
4020,5,All juice are bad... Juice smells bad.. i threw it in the trash,juice bad juice smells bad threw trash
4021,5,i have placed an order of pesto pasta and they have sent me this,placed order pesto pasta sent
4022,5,very good,good
4023,1,Good taste <br/>Cooking instructions followed very carefully,good taste brcooking instructions followed carefully
4024,1,Greatest food by this cafe. I always order lababdar and cheese naan. I loved it.,greatest food cafe always order lababdar cheese naan loved
4025,4,Bad taste less quantity high prices worst packaging,bad taste less quantity high prices worst packaging
4026,4,"Very bad taste of food..we ordered fries,spaggetti,sizzler and soup..Soup were spicy,fries were very oily,spaggetti was half cooked and sizzler was worst..will not recommend anyone and will never visit again…!",bad taste foodwe ordered friesspaggettisizzler soupsoup spicyfries oilyspaggetti half cooked sizzler worstwill recommend anyone never visit
4027,1,"Best multi cuisine cafe and restro in vesu area. The food was quickly served with best quality of food. Theme is so amazing. I went with my family, enjoyed a lot in the evening time. The staff was properly dressed and well mannered. So i would suggest everyone to give a must visit to this amazing jungle place.",best multi cuisine cafe restro vesu area food quickly served best quality food theme amazing went family enjoyed lot evening time staff properly dressed well mannered would suggest everyone give must visit amazing jungle place
4028,2,"It was a wonderful experience with helpful staff and  delicious food,highly recommended to everyone!!",wonderful experience helpful staff delicious foodhighly recommended everyone
4029,5,"very poor in taste ... less in salt , poorly cooked... recommend not to order ",poor taste less salt poorly cooked recommend order
4030,3,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4031,5,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4032,5,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4033,4,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4034,5,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4035,5,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4036,1,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4037,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4038,3,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4039,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4040,1,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4041,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4042,1,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4043,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4044,1,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4045,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4046,1,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4047,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4048,3,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4049,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4050,1,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4051,5,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4052,5,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4053,5,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4054,1,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4055,3,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4056,2,after long time I had super tasty mysore dosa. thanks Mysore express and Zomato. ,long time super tasty mysore dosa thanks mysore express zomato
4057,1,Enjoyed the dinner from Mysore Express Restaurant. Looking forward to try other items from your menu.,enjoyed dinner mysore express restaurant looking forward try items menu
4058,1,"I have never gotten such bad food for 330 bucks. This food outlet just doesnt want to put effort, its like they want to earn free money with the cafe food trend. ",never gotten bad food bucks food outlet doesnt want put effort like want earn free money cafe food trend
4059,3,olive,olive
4060,1,worst pasta ever tasted. ,worst pasta ever tasted
4061,3,well timing,well timing
4062,1,Loved it.,loved
4063,1,more then worst I don't know how to react.. there is no salt in pasta I hate it.. ,worst dont know react salt pasta hate
4064,1,Totally awesome taste with awesome customer satisfaction by giving wodden forks &amp; spoons,totally awesome taste awesome customer satisfaction giving wodden forks amp spoons
4065,1,"food to too spicy, unable to eat so had added sugar into it as don’t have other option to eat. Have ordered this expensive pasta but really disappointed with the quality.",food spicy unable eat added sugar dont option eat ordered expensive pasta really disappointed quality
4066,1,Only 2 packs delivered due to u availability,packs delivered due u availability
4067,1,"Older, un-fresh bread delivered.",older unfresh bread delivered
4068,1,Substandard packaging - Seal and opening do not work. ,substandard packaging seal opening work
4069,2,it's molded..... disgusting ,molded disgusting
4070,1,wish there was vanila choco chip  ,wish vanila choco chip
4071,1,They have best breads to offer. Couldn't imagine we r getting such good and healthy  breads in Surat now.,best breads offer couldnt imagine r getting good healthy breads surat
4072,2,the bread is stale. it's worst experience.  after calling  Bakers Dozen I got few calls and now saying that they will change bread tomorrow afternoon which isn't acceptable. kindly repay my money.,bread stale worst experience calling bakers dozen got calls saying change bread tomorrow afternoon isnt acceptable kindly repay money
4073,1,the banana bread was so moist that the taste melted in the mouth 😋❤,banana bread moist taste melted mouth
4074,2,There are lots of varieties in croissants- hope to have them from you very soon,lots varieties croissants hope soon
4075,1,bitter taste. something went wrong in the ingredients,bitter taste something went wrong ingredients
4076,1,both things were hum but there cn be more choclate in crosiant!,things hum cn choclate crosiant
4077,2,Could be way better and more fresh.,could way better fresh
4078,1,i ordered bhature and rice both but i received bhature only even after discussion I have not received rice.,ordered bhature rice received bhature even discussion received rice
4079,1,very bad packaging and taste ,bad packaging taste
4080,1,Nice Dilevery ,nice dilevery
4081,2,"very bad packaging. not hygienic at all, no tissue paper n spoons",bad packaging hygienic tissue paper n spoons
4082,1,all food are not good alu not boil Chana also not boil,food good alu boil chana also boil
4083,1,not good ,good
4084,5,very good👍,good
4085,5,Excellent on all the parameters,excellent parameters
4086,1,good,good
4087,1,Family meal include Curd and Achar but there was no Curd and Achar in delivery basket... ,family meal include curd achar curd achar delivery basket
4088,1,good experience ,good experience
4089,5,I highly like all food ☺️ tasty or delicious.....i enjoyed lot.,highly like food tasty deliciousi enjoyed lot
4090,2,lajawab test,lajawab test
4091,1,nice food ,nice food
4092,1,Insect in the food,insect food
4093,1,good food<br/>,good foodbr
4094,2,Tasteless and Poor Quality. ,tasteless poor quality
4095,1,cold drink ,cold drink
4096,1,Pathetic and worst.,pathetic worst
4097,5,It was too hot🔥<br/>,hotbr
4098,1,GOOD TEST,good test
4099,1,Nice💙,nice
4100,1,Very Very nice taste like home,nice taste like home
4101,3,one almost packed unused,one almost packed unused
4102,1,Quality And Taste So Bad….,quality taste bad
4103,4,didn't give salad and food is not proper paked not happy with service,didnt give salad food proper paked happy service
4104,1,food was fully cold and it's horrible to accept such food,food fully cold horrible accept food
4105,5,"There was no paneer in kaju paneer. This is so wrong, please return the money for the same.",paneer kaju paneer wrong please return money
4106,1,"Pickel was expired.., I ordered 2 chole bhature from ‘punjabi chulha swad e punjab’ on 6th February around 6-7 pm.., and the pickel was expired.., it had manufactured on may and has 6 months expiring date on.., AND AND AND BEFORE GOING I WANT TO TALK ABOUT TASTE.., so, chole bhature taste was good, i will give 8.5 out of 10.., and packaging was great i will give 9.5 out of 10 and the potion size was good.., i will give chole 6 out of 10 restaurant want to give 20-25% more.., because on 2 bhatures, chole potion was not sufficient for 2 bhatures.., thank you..",pickel expired ordered chole bhature punjabi chulha swad e punjab th february around pm pickel expired manufactured may months expiring date going want talk taste chole bhature taste good give packaging great give potion size good give chole restaurant want give bhatures chole potion sufficient bhatures thank
4107,1,Don’t order form this restaurant it soo dirty,dont order form restaurant soo dirty
4108,1,Must try place,must try place
4109,1,"this is pathetic, i I waste of my money<br/>its like jeera rice with egg <br/>who made this mori boy or cheff its realy shameful to call him a chef very cheap ",pathetic waste moneybrits like jeera rice egg brwho made mori boy cheff realy shameful call chef cheap
4110,4,no egg in pulaav,egg pulaav
4111,5,to.much good my order,tomuch good order
4112,5,We ordered paneer chatpata from here.<br/>I think they provide the best quality food in affordable rates.<br/>The taste and quality was outstanding. Delivery was fast with maintaining properly packing.,ordered paneer chatpata herebri think provide best quality food affordable ratesbrthe taste quality outstanding delivery fast maintaining properly packing
4113,1,not gud,gud
4114,1,don't order at all bakwas biryani<br/>no quality and no quantity ,dont order bad biryanibrno quality quantity
4115,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4116,5,nice food,nice food
4117,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4118,5,nice food,nice food
4119,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4120,5,nice food,nice food
4121,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4122,5,nice food,nice food
4123,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4124,5,nice food,nice food
4125,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4126,5,nice food,nice food
4127,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4128,5,nice food,nice food
4129,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4130,5,nice food,nice food
4131,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4132,5,nice food,nice food
4133,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4134,5,nice food,nice food
4135,5,My order instructions were not followed and quantity of foof is very low,order instructions followed quantity foof low
4136,5,nice food,nice food
4137,1,Bahot jaada carj le rahe he,bahot jaada carj le rahe
4138,3,Pice is costly,pice costly
4139,1,Tres Bien !!,tres bien
4140,5,Best paan in all over surat city &amp; best quality ingredients using in paan making.,best paan surat city amp best quality ingredients using paan making
4141,4,"I literally liked the paan very much so good😻, the taste of both the paan is perfect I liked the paan very much",literally liked paan much good taste paan perfect liked paan much
4142,1,why item was missing??<br/>need refund of that ,item missingbrneed refund
4143,1,Best quality of food in this price 😋,best quality food price
4144,3,Have added cooking instructions to keep spicy  but they have make opposite of it.No Taste Only waste,added cooking instructions keep spicy make opposite itno taste waste
4145,3,Taste was good and I liked the packing standard that they are following with maintaining the hygiene.,taste good liked packing standard following maintaining hygiene
4146,1,great taste,great taste
4147,2,have order the juice and milk but while order came milk is opened and its only half i have attached the picture please give me solution it's very bad  experience with zomato ,order juice milk order came milk opened half attached picture please give solution bad experience zomato
4148,3,Bhatt hi ghatiya he koy oder na kre,bhatt hi ghatiya koy oder na kre
4149,1,Not good. Ordered online but restaurant didn’t know order till 1 hr and when I approach to,good ordered online restaurant didnt know order till hr approach
4150,5,superb test ,superb test
4151,1,I wasted my money,wasted money
4152,5,very fast delivery ,fast delivery
4153,1,very bad experience<br/>they gave me small ass 50 rupees pizza at the rate 200/- ,bad experiencebrthey gave small ass rupees pizza rate
4154,1,The food was not justifying the price at all.,food justifying price
4155,1,waste of money ,waste money
4156,1,Pasa bahot ziyada tha pizza ka hisab sa test acha tha,pasa bahot ziyada tha pizza ka hisab sa test good tha
4157,3,Test not good <br/>Brad size so broad<br/>West of money this restaurant,test good brbrad size broadbrwest money restaurant
4158,1,nice,nice
4159,2,so good,good
4160,2,excellent service,excellent service
4161,3,good,good
4162,5,"If u don't know how to make rajma, don't serve it, if u can't cook rice properly don't serve it. Such a useless food I have never eaten. Better to sleep hungry than to eat this.",u dont know make rajma dont serve u cant cook rice properly dont serve useless food never eaten better sleep hungry eat
4163,1,it's very tasty and services also appreciated ,tasty services also appreciated
4164,2,I’m ordering 2 lacha paratha but delivery only 1 lacha paratha and 2 roti,im ordering lacha paratha delivery lacha paratha roti
4165,5,good taste ,good taste
4166,2,Overall Horrible Experience. Thank you very much,overall horrible experience thank much
4167,5,disappointed with taste i told to add red chutney but they didn't kept,disappointed taste told add red chutney didnt kept
4168,5,it's very tasty.. proper Punjabi taste..best Lachcha Prantha,tasty proper punjabi tastebest lachcha prantha
4169,5,chaap was good but less in qty.  and roti was just like rubber.,chaap good less qty roti like rubber
4170,1,totally waste of money... chole was stinking and taste is also so bad so bad experience i hve to think twice before ordering from the zomato😡,totally waste money chole stinking taste also bad bad experience hve think twice ordering zomato
4171,1,taste of food was average as we expected alot...but the taste was average,taste food average expected alotbut taste average
4172,5,Perfect place for punjabi taste ..loved it 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍🤩🤩🤩🥰🥰🥰🥰🥰😍😍🤩🤩😍🥰🤩🥰🤩😍😍😍😍😍,perfect place punjabi taste loved
4173,1,<br/><br/>,brbr
4174,1,the spinach balls gof soggy due to the salad fluid and improper packaging...even though special instructions were given to the restaurant about the packaging but that was ignored and not followed..also a thin wire came out of the dip which came along with it. strict hygiene issues!!,spinach balls gof soggy due salad fluid improper packagingeven though special instructions given restaurant packaging ignored followedalso thin wire came dip came along strict hygiene issues
4175,5,It was clean and well managed .service was super quick even on Sunday ...food was there in 10 minutes ...we ordered sandwich and pink sauce pasta ...both were good ...best was culhad tea ...good place to visit atleast for once for some change,clean well managed service super quick even sunday food minutes ordered sandwich pink sauce pasta good best culhad tea good place visit atleast change
4176,5,The bunglow coffee house ☕<br/><br/>Do yourself a favor and visit this lovely cafe. The service is unmatched. The staff truly cares about your experience. The food is absolutely amazing – everything we tasted was a surprise.<br/>Highly recommend!<br/><br/>Try the burger it was the star of the cafe.<br/>Go for cranberry ice tea.<br/>And the pasta is worth trying.,bunglow coffee house brbrdo favor visit lovely cafe service unmatched staff truly cares experience food absolutely amazing everything tasted surprisebrhighly recommendbrbrtry burger star cafebrgo cranberry ice teabrand pasta worth trying
4177,5,worst food,worst food
4178,5,Tasty Dosa…..,tasty dosa
4179,3,Plz give me return my money bcz we can’t eat that meal bcz of taste and not proper steam,plz give return money bcz cant eat meal bcz taste proper steam
4180,1,please don't include this type of restaurant in zomato. once again bad experience of this restaurant. zomato rating of this restaurant looks like fake. very late delivery. food is not up to the standard quality.,please dont include type restaurant zomato bad experience restaurant zomato rating restaurant looks like fake late delivery food standard quality
4181,4,not testy ,testy
4182,1,"Kindly change the south Indian part, its not at all has any Indian food tast, i I threw  all the Chutneys and somehow manage to eat half of the Masal Dosa it's horrible.",kindly change south indian part indian food tast threw chutneys somehow manage eat half masal dosa horrible
4183,5,it was full jeera and dosa was burned,full jeera dosa burned
4184,4,"worst taste. worst experience. food is not at all fresh, tast is very very bad, food is badly stink of garlic. ",worst taste worst experience food fresh tast bad food badly stink garlic
4185,1,Awesome Authentic South Indian Food.<br/>Ghee Podi Masala Dosa<br/>Butter Bandi Dosa<br/>Cheese Palak Dosa<br/>Theses Dosa are speciality.,awesome authentic south indian foodbrghee podi masala dosabrbutter bandi dosabrcheese palak dosabrtheses dosa speciality
4186,2,The taste of chutney and sambhara was also very good.<br/>authentic South Indian taste.,taste chutney sambhara also goodbrauthentic south indian taste
4187,2,"worst taste. worst experience. food is not at all fresh, tast is very very bad, food is badly stink of garlic. ",worst taste worst experience food fresh tast bad food badly stink garlic
4188,1,Awesome Authentic South Indian Food.<br/>Ghee Podi Masala Dosa<br/>Butter Bandi Dosa<br/>Cheese Palak Dosa<br/>Theses Dosa are speciality.,awesome authentic south indian foodbrghee podi masala dosabrbutter bandi dosabrcheese palak dosabrtheses dosa speciality
4189,2,The taste of chutney and sambhara was also very good.<br/>authentic South Indian taste.,taste chutney sambhara also goodbrauthentic south indian taste
4190,4,"worst taste. worst experience. food is not at all fresh, tast is very very bad, food is badly stink of garlic. ",worst taste worst experience food fresh tast bad food badly stink garlic
4191,5,Awesome Authentic South Indian Food.<br/>Ghee Podi Masala Dosa<br/>Butter Bandi Dosa<br/>Cheese Palak Dosa<br/>Theses Dosa are speciality.,awesome authentic south indian foodbrghee podi masala dosabrbutter bandi dosabrcheese palak dosabrtheses dosa speciality
4192,5,The taste of chutney and sambhara was also very good.<br/>authentic South Indian taste.,taste chutney sambhara also goodbrauthentic south indian taste
4193,5,"worst taste. worst experience. food is not at all fresh, tast is very very bad, food is badly stink of garlic. ",worst taste worst experience food fresh tast bad food badly stink garlic
4194,1,Awesome Authentic South Indian Food.<br/>Ghee Podi Masala Dosa<br/>Butter Bandi Dosa<br/>Cheese Palak Dosa<br/>Theses Dosa are speciality.,awesome authentic south indian foodbrghee podi masala dosabrbutter bandi dosabrcheese palak dosabrtheses dosa speciality
4195,3,The taste of chutney and sambhara was also very good.<br/>authentic South Indian taste.,taste chutney sambhara also goodbrauthentic south indian taste
4196,1,"worst taste. worst experience. food is not at all fresh, tast is very very bad, food is badly stink of garlic. ",worst taste worst experience food fresh tast bad food badly stink garlic
4197,5,Awesome Authentic South Indian Food.<br/>Ghee Podi Masala Dosa<br/>Butter Bandi Dosa<br/>Cheese Palak Dosa<br/>Theses Dosa are speciality.,awesome authentic south indian foodbrghee podi masala dosabrbutter bandi dosabrcheese palak dosabrtheses dosa speciality
4198,5,The taste of chutney and sambhara was also very good.<br/>authentic South Indian taste.,taste chutney sambhara also goodbrauthentic south indian taste
4199,1,"worst taste. worst experience. food is not at all fresh, tast is very very bad, food is badly stink of garlic. ",worst taste worst experience food fresh tast bad food badly stink garlic
4200,2,Awesome Authentic South Indian Food.<br/>Ghee Podi Masala Dosa<br/>Butter Bandi Dosa<br/>Cheese Palak Dosa<br/>Theses Dosa are speciality.,awesome authentic south indian foodbrghee podi masala dosabrbutter bandi dosabrcheese palak dosabrtheses dosa speciality
4201,1,The taste of chutney and sambhara was also very good.<br/>authentic South Indian taste.,taste chutney sambhara also goodbrauthentic south indian taste
4202,1,"worst taste. worst experience. food is not at all fresh, tast is very very bad, food is badly stink of garlic. ",worst taste worst experience food fresh tast bad food badly stink garlic
4203,1,Awesome Authentic South Indian Food.<br/>Ghee Podi Masala Dosa<br/>Butter Bandi Dosa<br/>Cheese Palak Dosa<br/>Theses Dosa are speciality.,awesome authentic south indian foodbrghee podi masala dosabrbutter bandi dosabrcheese palak dosabrtheses dosa speciality
4204,2,The taste of chutney and sambhara was also very good.<br/>authentic South Indian taste.,taste chutney sambhara also goodbrauthentic south indian taste
